60
0	75	40	64	34	18	54	93	42	1	88	22	35	40	76	21	75	38	56	85	99	64	25	27	45	42	12	72	23	43	52	9	3	14	17	4	96	52	33	85	52	97	27	86	14	30	90	68	39	2	86	61	17	24	56	53	94	31	35	17
75	0	64	81	84	2	68	99	97	19	32	65	83	65	73	10	83	57	22	77	42	80	90	42	4	82	69	53	24	41	87	58	43	7	78	44	1	15	76	50	86	81	34	26	78	2	79	85	60	39	88	31	97	94	55	75	13	67	78	86
40	64	0	62	24	46	49	81	58	3	81	11	48	62	49	2	84	49	49	76	5	34	49	93	76	52	84	83	72	81	95	6	44	72	24	98	27	94	68	15	70	50	5	34	59	93	89	18	89	31	53	63	89	57	14	50	14	50	78	23
64	81	62	0	37	10	11	43	83	68	96	99	87	65	6	94	52	41	50	54	83	2	69	20	39	71	80	97	28	1	46	9	17	1	45	16	58	17	62	74	37	9	41	92	62	60	37	96	14	10	9	44	11	43	79	16	48	35	59	70
34	84	24	37	0	82	94	81	55	31	4	15	71	49	47	31	11	17	99	43	17	29	9	57	12	65	53	64	86	52	24	17	76	49	85	35	6	78	22	83	94	86	93	41	31	24	37	77	4	85	73	16	40	26	52	34	54	29	81	36
18	2	46	10	82	0	41	62	66	82	59	63	53	71	6	45	10	63	10	10	57	12	99	41	39	36	62	15	26	94	36	34	81	56	23	64	42	58	47	2	47	78	78	52	32	32	82	81	28	66	10	1	56	71	63	21	75	11	26	50
54	68	49	11	94	41	0	100	21	19	41	44	100	78	47	100	92	65	39	48	54	26	23	6	77	72	68	10	43	88	89	100	65	64	57	29	76	62	82	36	40	26	69	22	7	45	65	71	82	70	2	67	85	94	73	30	61	13	50	26
93	99	81	43	81	62	100	0	58	33	56	78	18	28	55	59	23	100	74	90	12	89	49	76	57	75	83	94	24	63	8	26	27	73	43	37	99	83	64	88	93	53	54	99	6	18	54	78	63	29	54	81	92	93	2	51	25	69	30	48
42	97	58	83	55	66	21	58	0	87	40	80	46	18	49	67	18	13	56	49	59	13	29	64	27	47	16	88	9	72	100	41	50	97	90	36	19	67	84	94	67	69	32	97	38	49	29	9	54	89	17	100	100	20	4	17	39	83	17	90
1	19	3	68	31	82	19	33	87	0	94	59	8	6	30	14	70	94	9	3	50	80	6	6	46	11	66	89	27	51	10	20	68	61	48	53	53	77	35	67	66	24	63	12	75	92	97	1	69	66	46	79	2	70	12	43	95	84	74	9
88	32	81	96	4	59	41	56	40	94	0	80	86	41	98	63	88	19	14	70	68	33	28	11	40	56	76	89	72	61	5	71	45	17	71	100	20	11	36	83	75	28	70	70	55	96	57	81	68	85	71	39	36	15	100	30	80	10	6	79
22	65	11	99	15	63	44	78	80	59	80	0	17	94	94	67	12	39	16	17	29	53	10	98	28	18	99	46	49	4	52	40	60	6	7	24	51	16	35	34	92	45	33	21	47	77	68	16	24	23	66	66	85	73	41	34	46	86	87	79
35	83	48	87	71	53	100	18	46	8	86	17	0	33	36	81	4	83	26	62	93	91	90	47	60	52	82	22	95	70	13	19	52	35	7	99	91	20	89	22	51	53	54	18	95	46	46	94	20	62	97	75	84	28	60	25	11	64	71	9
40	65	62	65	49	71	78	28	18	6	41	94	33	0	90	39	40	100	47	36	61	34	39	54	91	41	15	11	3	15	68	94	86	63	19	83	73	51	21	39	35	6	100	84	19	79	15	57	97	69	51	64	23	64	65	55	14	7	38	95
76	73	49	6	47	6	47	55	49	30	98	94	36	90	0	56	90	79	31	56	90	20	53	59	67	22	8	29	1	35	36	72	18	67	31	80	96	5	33	71	27	29	14	28	64	60	47	34	43	11	57	64	72	64	57	99	97	26	44	70
21	10	2	94	31	45	100	59	67	14	63	67	81	39	56	0	46	3	71	45	76	39	64	48	5	2	33	66	6	8	89	10	66	60	70	46	22	34	40	23	23	14	68	74	74	70	19	92	49	25	96	44	60	22	68	73	99	67	76	47
75	83	84	52	11	10	92	23	18	70	88	12	4	40	90	46	0	8	72	2	55	73	14	91	84	3	27	86	32	19	70	3	67	66	73	30	16	72	84	64	81	78	43	92	66	71	89	22	83	54	6	17	96	92	82	36	44	55	46	77
38	57	49	41	17	63	65	100	13	94	19	39	83	100	79	3	8	0	96	99	26	65	31	16	62	26	81	99	71	27	42	3	51	75	23	85	89	57	40	90	58	13	72	66	31	8	78	52	83	100	64	91	56	15	42	89	11	56	94	64
56	22	49	50	99	10	39	74	56	9	14	16	26	47	31	71	72	96	0	5	6	3	60	27	25	32	15	9	96	21	81	55	1	58	54	54	99	34	74	8	93	4	80	75	71	36	79	61	13	6	74	8	95	31	39	75	44	41	88	80
