30
0	24	32	16	25	38	23	19	22	3	10	31	25	2	29	27	39	16	9	48	11	49	20	29	39	28	4	29	28	16
24	0	22	43	10	9	16	4	23	17	24	46	17	9	36	48	26	12	6	45	36	49	46	45	25	8	40	2	10	31
32	22	0	13	49	26	3	14	30	9	26	41	13	39	42	4	12	42	41	37	19	34	8	37	17	43	12	10	4	42
16	43	13	0	6	39	11	40	39	20	39	40	16	4	16	39	49	38	39	37	10	34	5	38	8	5	16	35	22	17
25	10	49	6	0	43	21	22	18	18	10	22	22	29	37	37	49	33	18	1	13	5	48	30	18	46	50	38	11	22
38	9	26	39	43	0	35	40	16	4	25	12	27	36	11	30	1	37	3	44	32	1	35	1	48	44	31	48	17	45
23	16	3	11	21	35	0	27	21	46	37	18	42	26	48	27	14	43	34	8	30	39	48	33	49	27	27	9	41	2
19	4	14	40	22	40	27	0	29	21	12	20	17	14	42	48	38	24	9	18	13	26	11	27	15	36	19	48	48	31
22	23	30	39	18	16	21	29	0	40	30	45	45	46	49	37	34	36	40	32	38	5	18	31	34	16	44	21	40	31
3	17	9	20	18	4	46	21	40	0	2	33	23	27	43	22	46	23	50	12	13	27	2	15	42	43	20	29	33	26
10	24	26	39	10	25	37	12	30	2	0	50	33	11	3	17	8	27	5	6	40	5	11	18	30	40	9	11	3	42
31	46	41	40	22	12	18	20	45	33	50	0	20	41	45	28	42	27	20	19	40	2	21	41	8	38	22	25	24	30
25	17	13	16	22	27	42	17	45	23	33	20	0	24	8	45	37	46	31	29	18	49	4	23	47	12	20	26	6	47
2	9	39	4	29	36	26	14	46	27	11	41	24	0	17	47	48	36	10	32	25	23	6	48	5	34	20	18	20	22
29	36	42	16	37	11	48	42	49	43	3	45	8	17	0	17	1	35	36	34	10	6	31	47	9	48	23	36	36	22
27	48	4	39	37	30	27	48	37	22	17	28	45	47	17	0	6	38	28	7	36	19	8	44	12	3	7	34	10	16
39	26	12	49	49	1	14	38	34	46	8	42	37	48	1	6	0	41	5	41	6	32	37	41	7	35	22	42	36	20
16	12	42	38	33	37	43	24	36	23	27	27	46	36	35	38	41	0	40	39	24	15	12	8	13	35	30	6	37	28
9	6	41	39	18	3	34	9	40	50	5	20	31	10	36	28	5	40	0	3	1	38	50	41	19	4	17	12	25	20
48	45	37	37	1	44	8	18	32	12	6	19	29	32	34	7	41	39	3	0	40	16	6	8	26	41	31	20	16	25
11	36	19	10	13	32	30	13	38	13	40	40	18	25	10	36	6	24	1	40	0	24	29	40	41	44	34	4	18	44
49	49	34	34	5	1	39	26	5	27	5	2	49	23	6	19	32	15	38	16	24	0	14	16	23	12	8	33	33	28
20	46	8	5	48	35	48	11	18	2	11	21	4	6	31	8	37	12	50	6	29	14	0	11	25	29	18	25	26	23
29	45	37	38	30	1	33	27	31	15	18	41	23	48	47	44	41	8	41	8	40	16	11	0	39	1	48	46	18	46
39	25	17	8	18	48	49	15	34	42	30	8	47	5	9	12	7	13	19	26	41	23	25	39	0	50	21	19	24	18
28	8	43	5	46	44	27	36	16	43	40	38	12	34	48	3	35	35	4	41	44	12	29	1	50	0	8	24	46	33
4	40	12	16	50	31	27	19	44	20	9	22	20	20	23	7	22	30	17	31	34	8	18	48	21	8	0	17	32	36
29	2	10	35	38	48	9	48	21	29	11	25	26	18	36	34	42	6	12	20	4	33	25	46	19	24	17	0	1	47
28	10	4	22	11	17	41	48	40	33	3	24	6	20	36	10	36	37	25	16	18	33	26	18	24	46	32	1	0	46
16	31	42	17	22	45	2	31	31	26	42	30	47	22	22	16	20	28	20	25	44	28	23	46	18	33	36	47	46	0
