20
0	34	47	17	45	44	49	34	1	17	11	34	4	38	23	7	18	40	23	43
34	0	34	48	5	28	15	36	13	28	15	16	35	7	3	15	29	31	10	30
47	34	0	2	41	6	33	12	39	10	8	30	32	7	33	20	46	17	26	1
17	48	2	0	29	27	25	10	36	48	8	28	4	33	32	49	16	35	4	46
45	5	41	29	0	17	17	23	13	15	8	24	49	31	31	23	38	21	16	21
44	28	6	27	17	0	7	27	22	21	44	23	7	25	2	13	26	16	22	26
49	15	33	25	17	7	0	30	6	11	20	35	33	11	42	6	43	33	5	11
34	36	12	10	23	27	30	0	30	44	50	34	7	11	42	33	36	50	9	36
1	13	39	36	13	22	6	30	0	4	1	21	7	17	45	6	45	39	44	45
17	28	10	48	15	21	11	44	4	0	26	1	50	30	30	34	27	26	3	34
11	15	8	8	8	44	20	50	1	26	0	28	28	33	18	28	16	39	24	20
34	16	30	28	24	23	35	34	21	1	28	0	4	5	45	2	12	44	1	43
4	35	32	4	49	7	33	7	7	50	28	4	0	24	15	36	32	12	18	30
38	7	7	33	31	25	11	11	17	30	33	5	24	0	23	10	27	7	37	5
23	3	33	32	31	2	42	42	45	30	18	45	15	23	0	20	8	29	16	32
7	15	20	49	23	13	6	33	6	34	28	2	36	10	20	0	38	30	48	17
18	29	46	16	38	26	43	36	45	27	16	12	32	27	8	38	0	31	37	30
40	31	17	35	21	16	33	50	39	26	39	44	12	7	29	30	31	0	17	13
23	10	26	4	16	22	5	9	44	3	24	1	18	37	16	48	37	17	0	39
43	30	1	46	21	26	11	36	45	34	20	43	30	5	32	17	30	13	39	0
