90
0	58	94	3	60	69	26	63	72	89	18	68	48	79	75	36	61	97	41	1	26	95	80	50	99	76	31	51	18	21	21	60	35	25	69	97	61	22	81	63	20	51	48	94	99	5	35	32	42	98	59	94	24	28	52	81	88	69	5	25	7	40	61	49	56	84	64	27	84	96	38	40	68	30	73	7	70	4	71	33	85	16	24	43	11	100	62	24	58	51
58	0	89	88	1	92	86	59	15	8	86	75	44	47	83	49	80	84	38	88	68	80	39	83	12	78	49	9	20	30	84	10	19	57	26	94	5	83	59	61	6	75	72	39	65	76	51	2	18	48	2	72	33	94	92	99	58	63	89	14	66	52	72	93	44	20	36	39	20	68	83	47	73	59	33	28	80	10	11	79	6	88	84	17	85	30	40	69	30	6
94	89	0	41	29	66	12	13	66	63	46	53	91	30	81	18	83	13	57	39	66	35	66	28	32	19	5	12	9	57	21	97	88	70	57	39	44	8	45	38	88	49	13	14	89	92	70	71	17	27	46	86	51	18	78	3	53	49	81	29	54	49	10	87	11	93	95	49	100	28	61	60	21	93	78	71	48	48	30	76	72	75	3	73	19	14	78	2	63	62
3	88	41	0	96	70	34	33	64	29	5	47	44	32	32	65	74	4	77	2	32	49	39	84	96	12	15	83	81	60	21	24	78	25	80	39	59	67	12	31	57	11	82	25	56	56	17	44	59	86	75	1	4	30	32	58	8	45	35	69	5	6	69	18	59	34	84	60	70	65	22	28	86	8	98	18	66	75	23	28	79	90	54	92	61	6	32	37	45	78
60	1	29	96	0	4	90	15	77	33	22	89	46	37	73	69	23	21	96	73	77	11	58	65	10	20	67	34	58	17	50	85	51	73	66	59	37	30	55	39	84	11	72	67	93	11	68	38	3	2	50	52	74	9	94	51	44	66	72	58	12	74	29	73	68	97	64	1	1	62	48	79	58	12	9	97	17	59	30	80	30	33	81	13	16	96	52	17	65	42
69	92	66	70	4	0	33	29	54	60	87	44	55	41	25	30	53	55	21	10	10	54	87	27	100	61	17	41	11	35	67	32	75	49	55	44	43	83	49	51	99	50	57	49	46	30	33	65	5	37	25	83	89	39	48	100	14	21	6	54	70	42	82	17	40	1	69	21	42	24	75	29	17	16	47	47	35	69	15	19	12	39	62	36	62	3	29	94	94	58
26	86	12	34	90	33	0	90	66	44	14	19	95	75	93	47	53	50	11	21	90	56	99	29	91	3	12	26	38	5	75	87	46	78	16	7	3	84	21	26	81	37	17	49	4	18	38	47	98	93	55	89	58	98	92	81	47	27	81	32	27	59	13	93	70	48	42	80	19	79	93	41	33	18	53	67	72	26	97	15	38	95	49	15	19	45	12	67	15	92
63	59	13	33	15	29	90	0	78	11	17	57	64	99	41	21	61	37	27	43	74	23	66	14	47	43	53	66	47	28	63	87	31	47	95	88	16	79	76	15	70	78	29	85	73	68	55	83	89	17	66	13	71	84	83	85	99	27	49	12	41	28	18	24	72	4	32	67	58	11	16	2	91	7	45	14	27	19	63	67	81	70	27	24	6	84	77	93	2	51
72	15	66	64	77	54	66	78	0	31	49	17	50	3	80	41	17	51	50	43	52	6	45	1	18	76	11	66	100	76	34	39	9	92	90	56	57	21	4	47	95	6	88	27	88	79	13	1	18	32	72	54	6	11	22	68	58	13	75	25	51	92	24	53	61	76	3	90	31	95	1	21	72	43	21	96	78	5	50	21	90	82	74	80	15	36	24	90	63	5
89	8	63	29	33	60	44	11	31	0	61	99	70	66	78	98	2	77	82	5	31	92	36	91	77	63	41	100	40	30	96	23	91	13	82	54	100	11	71	41	53	70	27	21	92	48	78	18	57	35	45	52	82	10	64	66	91	15	5	91	38	82	53	48	64	69	79	20	43	6	54	16	4	93	39	70	75	48	85	80	6	83	67	87	89	51	77	31	18	27
18	86	46	5	22	87	14	17	49	61	0	58	17	26	7	22	85	52	1	9	60	41	11	3	76	93	29	100	47	16	6	75	14	30	62	93	43	75	94	13	24	74	43	51	37	9	19	75	29	30	92	37	56	84	81	92	69	25	36	79	100	99	51	38	37	34	23	82	55	45	90	65	16	16	56	38	66	30	55	31	63	37	3	62	57	68	33	72	97	20
68	75	53	47	89	44	19	57	17	99	58	0	6	87	49	100	66	5	61	24	32	5	31	89	76	18	33	1	81	37	21	95	75	95	41	70	37	33	13	66	40	69	83	53	37	37	98	93	83	92	96	21	29	68	51	74	26	62	42	84	67	52	97	100	63	40	95	78	30	7	51	38	18	5	49	77	40	37	63	29	96	97	95	73	89	24	46	64	92	82
48	44	91	44	46	55	95	64	50	70	17	6	0	95	55	90	95	43	40	19	61	36	61	65	5	32	78	28	56	54	38	48	23	21	27	12	44	2	21	20	32	83	93	67	2	44	6	55	38	57	21	32	78	73	35	32	52	25	44	84	65	38	54	27	4	73	12	43	62	80	35	62	67	7	82	12	64	13	99	82	52	43	8	43	6	68	21	57	91	59
79	47	30	32	37	41	75	99	3	66	26	87	95	0	9	59	71	56	8	23	67	74	47	90	88	75	33	24	17	66	21	45	49	25	61	21	58	31	10	70	21	66	78	45	74	96	96	56	43	35	32	31	34	53	62	2	86	71	20	88	54	80	35	11	33	88	27	84	86	88	36	6	74	86	1	23	56	100	11	13	3	10	56	98	48	78	29	57	68	28
