50
0	78	41	100	75	71	1	75	13	21	83	82	35	83	2	14	85	57	72	74	77	10	43	31	80	83	22	5	86	20	63	7	11	69	61	59	58	16	89	92	54	99	41	60	4	51	77	31	88	62
78	0	25	84	62	50	36	18	88	28	3	6	84	58	55	54	27	7	54	8	89	98	74	43	65	36	67	11	53	70	67	78	63	23	67	52	87	69	29	15	9	67	10	53	16	95	67	48	46	93
41	25	0	93	11	8	2	68	100	73	73	73	82	59	36	20	76	65	79	23	86	53	21	58	24	77	19	78	83	98	71	5	82	57	91	44	19	50	18	83	12	23	100	8	65	49	48	43	20	21
100	84	93	0	65	68	74	30	93	50	35	52	27	57	84	13	51	23	30	58	34	6	17	90	72	96	39	57	24	20	35	6	37	54	79	22	72	17	50	9	30	89	24	68	27	44	49	17	48	78
75	62	11	65	0	97	7	30	75	72	22	98	33	24	85	51	84	47	46	34	57	20	12	44	83	10	56	8	30	12	83	52	91	34	29	13	81	66	10	54	50	97	39	87	14	93	98	1	17	90
71	50	8	68	97	0	53	52	39	59	1	87	42	60	31	32	16	32	39	69	90	93	63	10	71	99	82	47	29	95	39	51	21	55	40	16	57	41	24	39	57	97	77	27	71	68	62	33	24	71
1	36	2	74	7	53	0	5	92	19	46	13	95	58	91	30	89	53	96	97	40	54	63	8	15	3	67	20	34	40	85	48	41	28	76	97	91	29	23	33	66	92	19	7	9	96	75	99	31	51
75	18	68	30	30	52	5	0	10	37	49	99	20	44	89	5	63	1	41	76	7	15	10	77	27	5	74	84	23	21	39	10	91	92	10	29	59	67	29	41	6	89	12	21	57	90	6	25	57	81
13	88	100	93	75	39	92	10	0	14	53	10	60	49	64	39	95	84	28	81	7	4	80	36	70	88	49	100	80	54	6	11	11	68	74	69	28	19	26	23	95	25	60	48	84	54	79	26	5	53
21	28	73	50	72	59	19	37	14	0	97	57	55	37	98	96	74	49	90	46	87	94	63	31	54	63	73	35	29	34	58	3	53	82	82	87	99	12	12	1	62	21	66	57	5	22	23	16	6	40
83	3	73	35	22	1	46	49	53	97	0	84	55	84	20	69	21	61	95	40	77	64	81	36	5	4	11	27	67	47	28	58	27	77	76	48	13	62	91	74	30	29	8	85	94	30	27	21	99	48
82	6	73	52	98	87	13	99	10	57	84	0	92	45	48	22	42	56	32	20	93	85	30	59	47	31	80	5	29	97	60	38	59	19	91	62	2	10	78	33	27	70	100	83	91	71	96	49	52	5
35	84	82	27	33	42	95	20	60	55	55	92	0	23	63	29	67	17	45	18	65	16	2	49	35	91	97	16	94	3	83	38	55	77	16	87	68	22	65	41	69	34	87	49	100	33	96	46	65	18
83	58	59	57	24	60	58	44	49	37	84	45	23	0	53	83	63	95	46	31	56	77	63	51	32	80	68	49	36	23	1	92	91	26	24	62	73	45	97	98	49	57	13	50	34	14	57	74	1	34
2	55	36	84	85	31	91	89	64	98	20	48	63	53	0	61	5	88	42	38	96	6	89	58	21	32	27	48	23	24	20	71	18	18	82	15	68	39	48	19	79	60	58	61	70	11	34	14	70	99
14	54	20	13	51	32	30	5	39	96	69	22	29	83	61	0	29	5	41	89	41	11	66	66	37	16	10	8	20	78	49	20	53	43	6	71	45	45	80	76	65	42	87	7	97	14	37	86	18	54
85	27	76	51	84	16	89	63	95	74	21	42	67	63	5	29	0	47	52	99	4	83	28	19	81	55	73	82	13	11	77	14	94	49	97	34	61	11	40	43	37	98	30	2	71	14	81	89	54	47
57	7	65	23	47	32	53	1	84	49	61	56	17	95	88	5	47	0	15	18	28	9	48	5	21	81	19	43	88	53	11	86	63	43	34	8	4	69	2	69	93	36	74	8	19	17	82	40	32	28
72	54	79	30	46	39	96	41	28	90	95	32	45	46	42	41	52	15	0	90	16	48	74	2	99	1	39	1	16	87	79	48	98	59	20	7	38	93	55	19	87	15	20	29	10	23	4	6	13	98
74	8	23	58	34	69	97	76	81	46	40	20	18	31	38	89	99	18	90	0	54	28	79	100	90	48	29	100	90	33	50	11	67	74	47	20	25	69	71	3	72	59	25	11	56	44	50	96	52	88
77	89	86	34	57	90	40	7	7	87	77	93	65	56	96	41	4	28	16	54	0	45	97	58	65	26	42	54	52	38	24	40	25	74	80	84	34	90	11	63	27	97	31	35	83	91	49	34	66	55
10	98	53	6	20	93	54	15	4	94	64	85	16	77	6	11	83	9	48	28	45	0	46	99	39	40	45	33	30	67	91	4	37	39	20	74	83	65	91	97	64	43	95	80	38	82	88	73	100	46
43	74	21	17	12	63	63	10	80	63	81	30	2	63	89	66	28	48	74	79	97	46	0	32	49	39	6	84	53	76	21	81	18	94	94	48	7	62	55	15	52	44	100	47	68	33	63	10	42	54
31	43	58	90	44	10	8	77	36	31	36	59	49	51	58	66	19	5	2	100	58	99	32	0	5	91	16	16	88	18	9	31	7	34	59	25	46	59	78	84	6	99	85	49	72	78	60	92	94	82
80	65	24	72	83	71	15	27	70	54	5	47	35	32	21	37	81	21	99	90	65	39	49	5	0	24	10	66	49	38	100	38	83	30	53	73	72	95	83	18	6	5	35	46	77	44	49	29	60	32
83	36	77	96	10	99	3	5	88	63	4	31	91	80	32	16	55	81	1	48	26	40	39	91	24	0	30	100	50	39	77	61	36	45	21	19	82	81	70	40	30	77	85	85	17	32	61	53	77	24
22	67	19	39	56	82	67	74	49	73	11	80	97	68	27	10	73	19	39	29	42	45	6	16	10	30	0	41	41	83	7	40	50	1	9	15	92	14	97	66	12	65	86	83	53	30	7	66	95	57
5	11	78	57	8	47	20	84	100	35	27	5	16	49	48	8	82	43	1	100	54	33	84	16	66	100	41	0	64	59	58	72	45	65	53	71	73	90	64	33	76	30	68	67	64	100	10	89	91	75
86	53	83	24	30	29	34	23	80	29	67	29	94	36	23	20	13	88	16	90	52	30	53	88	49	50	41	64	0	35	98	57	68	75	23	87	100	77	55	83	19	29	5	82	65	78	40	93	47	51
20	70	98	20	12	95	40	21	54	34	47	97	3	23	24	78	11	53	87	33	38	67	76	18	38	39	83	59	35	0	76	63	42	62	98	96	77	64	5	10	50	35	96	37	72	90	1	88	18	99
63	67	71	35	83	39	85	39	6	58	28	60	83	1	20	49	77	11	79	50	24	91	21	9	100	77	7	58	98	76	0	98	68	88	80	56	70	42	7	32	47	23	21	85	22	51	74	83	75	18
7	78	5	6	52	51	48	10	11	3	58	38	38	92	71	20	14	86	48	11	40	4	81	31	38	61	40	72	57	63	98	0	35	46	4	87	61	28	60	23	38	42	96	66	8	8	5	16	27	86
11	63	82	37	91	21	41	91	11	53	27	59	55	91	18	53	94	63	98	67	25	37	18	7	83	36	50	45	68	42	68	35	0	83	69	1	75	21	67	29	95	89	42	13	31	96	15	100	45	80
