20
0	42	7	45	7	44	12	26	14	28	32	8	11	5	18	4	19	20	13	40
42	0	37	11	32	6	38	18	20	44	27	5	5	33	39	18	35	49	11	31
7	37	0	6	48	9	12	34	24	29	14	42	18	33	49	12	15	3	40	26
45	11	6	0	8	5	32	20	37	46	25	45	39	4	5	11	22	34	30	34
7	32	48	8	0	25	49	25	4	28	27	39	6	46	12	11	25	30	31	25
44	6	9	5	25	0	27	44	32	6	30	19	12	26	47	35	2	6	22	17
12	38	12	32	49	27	0	42	10	31	45	36	20	13	33	47	45	18	31	30
26	18	34	20	25	44	42	0	17	22	10	14	34	47	16	44	17	19	7	34
14	20	24	37	4	32	10	17	0	23	1	2	1	29	23	8	43	45	7	22
28	44	29	46	28	6	31	22	23	0	12	7	9	50	28	3	9	24	11	50
32	27	14	25	27	30	45	10	1	12	0	19	30	31	3	26	3	36	24	46
8	5	42	45	39	19	36	14	2	7	19	0	6	18	49	43	4	33	49	47
11	5	18	39	6	12	20	34	1	9	30	6	0	5	39	44	16	3	28	20
5	33	33	4	46	26	13	47	29	50	31	18	5	0	2	23	7	50	4	22
18	39	49	5	12	47	33	16	23	28	3	49	39	2	0	22	18	25	21	24
4	18	12	11	11	35	47	44	8	3	26	43	44	23	22	0	5	43	48	44
19	35	15	22	25	2	45	17	43	9	3	4	16	7	18	5	0	34	29	36
20	49	3	34	30	6	18	19	45	24	36	33	3	50	25	43	34	0	9	43
13	11	40	30	31	22	31	7	7	11	24	49	28	4	21	48	29	9	0	14
40	31	26	34	25	17	30	34	22	50	46	47	20	22	24	44	36	43	14	0
