20
0	9	50	21	13	39	42	44	43	33	41	47	40	8	4	19	16	10	48	28
9	0	29	48	47	39	27	23	46	22	19	47	35	8	42	5	35	14	17	4
50	29	0	14	3	15	36	14	43	27	43	14	12	49	44	21	19	28	24	50
21	48	14	0	43	21	35	1	2	3	50	8	45	35	35	11	28	16	20	41
13	47	3	43	0	43	23	8	11	34	34	12	7	43	5	35	18	4	10	22
39	39	15	21	43	0	44	44	40	5	35	24	38	25	38	49	13	27	46	8
42	27	36	35	23	44	0	31	20	26	6	16	44	16	1	22	13	19	4	16
44	23	14	1	8	44	31	0	15	23	19	41	22	25	21	31	1	37	42	30
43	46	43	2	11	40	20	15	0	32	41	45	32	7	20	13	14	10	19	10
33	22	27	3	34	5	26	23	32	0	26	31	27	43	2	39	28	27	21	16
41	19	43	50	34	35	6	19	41	26	0	38	31	15	14	37	27	6	48	34
47	47	14	8	12	24	16	41	45	31	38	0	47	6	13	48	42	46	10	35
40	35	12	45	7	38	44	22	32	27	31	47	0	44	38	27	21	41	38	50
8	8	49	35	43	25	16	25	7	43	15	6	44	0	20	16	25	17	20	1
4	42	44	35	5	38	1	21	20	2	14	13	38	20	0	8	12	28	19	23
19	5	21	11	35	49	22	31	13	39	37	48	27	16	8	0	31	11	40	43
16	35	19	28	18	13	13	1	14	28	27	42	21	25	12	31	0	34	44	10
10	14	28	16	4	27	19	37	10	27	6	46	41	17	28	11	34	0	29	6
48	17	24	20	10	46	4	42	19	21	48	10	38	20	19	40	44	29	0	41
28	4	50	41	22	8	16	30	10	16	34	35	50	1	23	43	10	6	41	0
