80
0	5	5	19	43	91	31	95	37	22	89	8	19	65	95	83	47	96	99	69	11	18	38	78	89	22	23	17	76	31	43	35	96	75	61	16	77	87	5	74	78	31	6	34	51	49	48	88	78	7	80	64	90	6	7	73	26	62	99	3	93	48	64	98	93	95	11	96	48	13	5	43	23	51	1	74	59	18	65	55
5	0	59	10	48	78	87	49	13	95	16	37	27	40	41	87	97	82	12	85	66	59	74	16	41	73	7	60	29	67	8	63	76	41	11	17	33	95	51	24	19	79	3	45	72	61	51	98	47	58	47	24	52	22	52	25	25	52	33	92	11	13	86	29	80	56	52	64	97	48	39	32	50	60	51	17	31	49	75	83
5	59	0	83	32	80	10	29	31	98	35	84	59	85	71	89	38	43	77	65	85	18	92	58	59	75	86	31	72	71	38	98	77	29	82	72	17	2	99	25	4	36	85	74	50	54	66	47	55	43	57	19	97	35	6	87	8	4	21	23	3	89	8	84	74	58	33	48	35	87	29	96	99	55	4	24	63	38	55	12
19	10	83	0	69	52	28	55	79	68	49	76	84	37	83	80	76	63	79	100	56	73	16	42	85	90	10	51	9	42	75	66	98	26	62	40	22	90	25	78	99	62	37	33	86	99	76	72	2	38	30	24	35	55	11	4	66	98	70	31	64	29	1	83	26	26	62	4	91	41	41	62	9	17	97	70	62	66	47	39
43	48	32	69	0	61	1	34	5	19	28	52	35	22	45	58	12	12	26	92	18	61	92	29	97	17	87	45	18	40	12	11	35	22	54	89	30	23	53	97	35	8	83	69	89	27	98	96	29	76	2	39	46	35	5	65	31	88	83	83	27	91	61	17	54	49	78	68	4	16	27	87	9	59	49	7	84	57	17	84
91	78	80	52	61	0	54	99	68	36	86	59	92	34	77	2	61	68	98	81	63	23	28	68	38	7	45	84	66	82	22	11	51	40	91	35	34	79	85	99	10	29	72	81	3	95	82	94	89	82	100	41	18	74	80	90	12	72	46	4	29	27	23	90	26	3	40	82	95	75	62	94	80	74	26	66	79	59	16	22
31	87	10	28	1	54	0	22	12	85	51	21	33	32	30	76	79	1	88	66	78	56	16	60	80	44	44	42	36	1	6	48	12	97	1	46	2	2	84	39	54	19	71	86	63	99	49	10	95	32	5	61	36	23	31	22	51	82	5	96	25	55	57	50	16	80	41	25	23	29	65	31	52	98	14	31	100	19	20	82
95	49	29	55	34	99	22	0	37	72	87	16	61	76	45	58	84	33	38	66	69	28	37	35	4	25	67	56	85	51	81	36	70	44	93	23	23	10	63	38	91	18	8	65	33	66	93	58	24	57	20	34	21	27	78	97	73	20	71	8	83	74	61	50	81	6	23	5	52	17	31	9	78	91	96	40	15	15	21	62
37	13	31	79	5	68	12	37	0	80	47	42	46	52	75	58	76	3	47	72	100	33	7	68	46	57	100	92	3	89	84	79	51	1	98	65	12	87	82	50	10	82	46	71	19	77	62	45	20	62	85	48	29	31	14	51	77	37	98	96	1	17	50	10	18	47	64	88	87	73	60	94	14	40	16	2	70	12	3	30
22	95	98	68	19	36	85	72	80	0	86	73	87	90	47	67	30	3	84	22	69	46	60	45	13	32	85	72	13	44	69	55	86	64	35	33	94	30	72	78	25	93	10	85	30	84	59	38	47	25	4	86	12	30	90	24	52	23	59	7	64	40	70	58	93	70	21	39	29	53	47	31	92	66	94	87	21	12	45	19
89	16	35	49	28	86	51	87	47	86	0	63	25	82	95	8	63	16	72	48	25	41	51	94	77	22	85	27	91	32	90	51	39	91	1	49	33	55	17	72	53	70	11	27	14	49	46	65	50	69	60	59	23	94	11	3	37	14	52	52	99	37	31	41	44	29	33	24	45	92	76	97	35	87	19	24	8	3	60	71
8	37	84	76	52	59	21	16	42	73	63	0	58	9	35	77	33	74	36	72	74	56	69	81	87	42	28	75	35	17	90	86	17	58	11	11	45	51	81	68	10	77	17	94	64	20	43	31	8	4	64	20	95	4	99	5	98	95	48	58	76	96	71	30	55	68	46	35	80	34	9	4	25	28	56	59	77	60	87	6
19	27	59	84	35	92	33	61	46	87	25	58	0	76	35	25	66	7	45	67	81	32	9	34	78	53	78	2	8	20	70	10	89	37	36	81	85	69	61	34	87	43	57	67	29	14	65	48	81	70	70	37	57	48	46	81	8	7	94	36	22	30	98	47	83	31	89	88	49	77	5	94	4	88	98	80	76	42	2	51
65	40	85	37	22	34	32	76	52	90	82	9	76	0	10	73	63	96	82	86	37	6	18	59	52	18	79	82	34	47	11	57	53	56	6	47	68	32	73	45	52	6	16	96	76	94	39	65	64	32	3	23	64	81	100	55	87	88	89	59	65	56	38	17	92	85	51	81	8	2	24	78	27	72	4	66	23	26	8	32
95	41	71	83	45	77	30	45	75	47	95	35	35	10	0	47	10	89	68	1	70	91	64	9	25	11	56	95	31	47	46	55	93	66	52	57	5	42	22	17	68	99	65	33	43	35	45	9	92	30	23	89	29	33	34	48	100	57	31	31	17	76	24	46	16	43	39	65	18	32	92	17	99	39	54	30	86	92	48	89
83	87	89	80	58	2	76	58	58	67	8	77	25	73	47	0	53	20	23	49	84	37	61	75	28	75	5	4	43	74	38	59	94	50	13	87	80	84	40	50	70	25	55	6	58	67	53	90	19	14	92	58	55	21	28	29	94	20	51	71	90	71	94	99	2	55	54	98	87	30	63	36	39	41	49	21	88	3	94	74
