40
0	58	26	53	58	93	9	30	1	77	21	9	24	24	59	96	65	6	19	27	82	7	95	57	74	83	98	22	35	82	86	42	77	48	75	6	69	72	85	92
58	0	69	39	95	73	9	99	26	54	57	37	100	30	88	40	62	33	14	19	85	78	90	81	38	37	2	47	74	64	45	49	94	40	38	51	68	46	78	35
26	69	0	74	66	34	1	41	22	80	55	7	62	73	61	95	86	1	52	43	61	71	31	73	6	7	52	81	61	80	50	13	79	55	30	86	26	41	49	29
53	39	74	0	25	62	23	91	69	63	3	79	90	70	18	74	18	53	7	94	66	64	5	35	50	87	14	70	4	91	43	77	55	73	73	4	47	84	48	80
58	95	66	25	0	73	92	41	42	67	26	82	29	80	57	57	11	27	73	35	22	14	93	91	20	97	50	86	31	13	21	79	15	15	76	96	23	71	85	41
93	73	34	62	73	0	82	73	81	56	18	78	59	84	36	74	69	14	75	69	35	72	87	76	54	30	32	48	98	69	7	24	53	39	91	95	30	15	61	14
9	9	1	23	92	82	0	54	4	78	42	26	81	82	68	18	93	11	77	69	43	8	52	97	79	34	25	93	5	66	77	62	86	99	6	63	56	95	88	76
30	99	41	91	41	73	54	0	84	64	94	12	50	1	19	4	11	27	80	88	23	6	17	70	92	83	60	24	19	32	91	19	99	50	9	18	22	81	89	35
1	26	22	69	42	81	4	84	0	43	55	33	45	5	89	6	78	75	3	41	53	69	43	60	90	13	80	70	32	55	79	72	68	41	94	12	76	59	51	32
77	54	80	63	67	56	78	64	43	0	76	14	81	91	66	20	22	24	32	51	84	89	89	25	52	15	42	77	41	2	17	17	86	14	56	28	48	17	82	55
21	57	55	3	26	18	42	94	55	76	0	51	84	17	34	57	70	100	24	38	80	12	52	5	9	72	46	62	2	69	5	61	8	50	50	46	10	90	57	7
9	37	7	79	82	78	26	12	33	14	51	0	67	62	99	77	75	16	80	94	17	30	75	21	77	100	92	38	28	88	43	97	52	90	100	70	96	98	37	46
24	100	62	90	29	59	81	50	45	81	84	67	0	27	56	62	79	90	22	44	94	17	30	76	62	50	74	16	43	83	18	15	67	25	97	96	78	18	92	9
24	30	73	70	80	84	82	1	5	91	17	62	27	0	95	37	5	32	34	69	23	54	48	30	7	34	84	88	20	27	30	3	65	43	86	47	44	58	96	76
59	88	61	18	57	36	68	19	89	66	34	99	56	95	0	80	70	90	2	78	1	5	79	6	7	45	28	76	67	38	64	49	3	50	68	1	100	31	66	50
96	40	95	74	57	74	18	4	6	20	57	77	62	37	80	0	51	80	35	28	50	43	100	92	45	12	72	94	73	25	56	18	47	2	75	2	20	40	40	37
65	62	86	18	11	69	93	11	78	22	70	75	79	5	70	51	0	21	51	45	8	25	77	71	4	3	55	82	90	93	32	44	12	52	2	21	54	75	77	5
6	33	1	53	27	14	11	27	75	24	100	16	90	32	90	80	21	0	67	98	60	35	93	80	87	87	81	96	63	24	25	89	82	66	62	54	67	21	36	79
19	14	52	7	73	75	77	80	3	32	24	80	22	34	2	35	51	67	0	69	5	17	10	26	90	79	96	32	19	32	38	61	100	52	30	84	33	98	44	86
27	19	43	94	35	69	69	88	41	51	38	94	44	69	78	28	45	98	69	0	36	65	71	53	84	52	30	56	89	82	49	71	45	61	29	10	94	11	90	42
82	85	61	66	22	35	43	23	53	84	80	17	94	23	1	50	8	60	5	36	0	83	27	49	73	27	16	13	17	25	74	18	44	19	50	39	92	32	1	73
7	78	71	64	14	72	8	6	69	89	12	30	17	54	5	43	25	35	17	65	83	0	17	74	5	51	92	66	50	99	36	88	12	15	62	50	92	13	42	83
95	90	31	5	93	87	52	17	43	89	52	75	30	48	79	100	77	93	10	71	27	17	0	2	96	32	86	55	87	67	32	66	77	35	72	51	13	12	3	100
57	81	73	35	91	76	97	70	60	25	5	21	76	30	6	92	71	80	26	53	49	74	2	0	8	96	49	32	48	37	55	29	22	73	2	68	64	20	10	72
74	38	6	50	20	54	79	92	90	52	9	77	62	7	7	45	4	87	90	84	73	5	96	8	0	2	53	96	25	16	6	92	99	93	55	73	24	56	78	74
83	37	7	87	97	30	34	83	13	15	72	100	50	34	45	12	3	87	79	52	27	51	32	96	2	0	40	26	45	8	1	82	51	28	14	91	73	50	67	95
98	2	52	14	50	32	25	60	80	42	46	92	74	84	28	72	55	81	96	30	16	92	86	49	53	40	0	64	52	57	30	8	61	6	96	5	16	2	24	61
22	47	81	70	86	48	93	24	70	77	62	38	16	88	76	94	82	96	32	56	13	66	55	32	96	26	64	0	30	39	43	50	95	68	27	97	1	68	15	1
35	74	61	4	31	98	5	19	32	41	2	28	43	20	67	73	90	63	19	89	17	50	87	48	25	45	52	30	0	3	2	41	43	39	91	51	94	43	1	1
82	64	80	91	13	69	66	32	55	2	69	88	83	27	38	25	93	24	32	82	25	99	67	37	16	8	57	39	3	0	44	21	16	81	35	20	86	1	55	85
86	45	50	43	21	7	77	91	79	17	5	43	18	30	64	56	32	25	38	49	74	36	32	55	6	1	30	43	2	44	0	49	31	96	58	63	30	15	85	54
42	49	13	77	79	24	62	19	72	17	61	97	15	3	49	18	44	89	61	71	18	88	66	29	92	82	8	50	41	21	49	0	15	29	81	93	89	87	99	94
77	94	79	55	15	53	86	99	68	86	8	52	67	65	3	47	12	82	100	45	44	12	77	22	99	51	61	95	43	16	31	15	0	2	51	83	42	14	41	75
48	40	55	73	15	39	99	50	41	14	50	90	25	43	50	2	52	66	52	61	19	15	35	73	93	28	6	68	39	81	96	29	2	0	57	46	89	27	26	60
75	38	30	73	76	91	6	9	94	56	50	100	97	86	68	75	2	62	30	29	50	62	72	2	55	14	96	27	91	35	58	81	51	57	0	83	24	11	82	21
6	51	86	4	96	95	63	18	12	28	46	70	96	47	1	2	21	54	84	10	39	50	51	68	73	91	5	97	51	20	63	93	83	46	83	0	21	92	35	38
69	68	26	47	23	30	56	22	76	48	10	96	78	44	100	20	54	67	33	94	92	92	13	64	24	73	16	1	94	86	30	89	42	89	24	21	0	86	64	27
72	46	41	84	71	15	95	81	59	17	90	98	18	58	31	40	75	21	98	11	32	13	12	20	56	50	2	68	43	1	15	87	14	27	11	92	86	0	53	22
85	78	49	48	85	61	88	89	51	82	57	37	92	96	66	40	77	36	44	90	1	42	3	10	78	67	24	15	1	55	85	99	41	26	82	35	64	53	0	81
92	35	29	80	41	14	76	35	32	55	7	46	9	76	50	37	5	79	86	42	73	83	100	72	74	95	61	1	1	85	54	94	75	60	21	38	27	22	81	0
