70
0	29	91	99	82	5	73	10	39	69	2	52	68	66	87	65	85	69	53	85	26	59	37	97	38	98	83	94	2	74	56	38	53	51	18	96	91	79	62	13	59	2	16	22	48	92	97	81	4	13	60	5	39	48	21	62	29	75	18	34	1	58	24	10	16	68	99	75	33	84
29	0	69	52	98	92	15	94	27	46	13	41	27	14	53	11	64	50	56	77	6	90	99	73	39	26	51	39	33	52	11	58	24	39	97	59	79	36	82	19	24	41	49	9	9	5	31	41	3	9	54	59	91	79	63	89	11	9	51	30	89	22	72	25	57	25	26	29	7	62
91	69	0	37	39	100	38	4	83	66	57	40	54	78	67	92	5	45	4	16	45	97	26	59	28	40	41	97	73	16	63	38	85	7	53	35	78	13	14	15	54	89	55	7	49	25	50	41	83	13	75	27	34	55	60	59	72	78	9	68	55	83	17	100	17	57	9	7	34	59
99	52	37	0	98	23	86	67	47	11	38	36	89	27	42	10	80	29	60	26	72	57	79	15	24	53	69	40	94	3	42	90	47	4	10	55	21	23	30	81	20	6	49	68	24	87	19	57	11	48	9	87	74	32	67	5	81	13	13	40	57	19	4	20	54	45	53	70	82	33
82	98	39	98	0	87	71	39	24	74	35	29	92	9	47	35	52	90	74	42	1	10	16	27	76	81	10	50	73	89	79	22	38	47	43	17	15	78	58	83	88	49	14	41	27	97	92	49	84	28	75	61	57	39	66	48	100	61	39	86	40	6	27	24	81	11	37	1	84	98
5	92	100	23	87	0	57	1	45	19	87	38	65	77	59	41	70	71	62	8	54	34	65	61	85	33	17	38	33	93	75	83	94	57	78	1	31	8	71	86	38	98	80	7	46	1	90	68	69	20	11	87	91	14	71	25	25	4	25	50	16	57	19	33	73	6	33	18	81	91
73	15	38	86	71	57	0	49	23	51	64	93	73	81	32	65	12	78	71	100	67	81	18	13	35	93	33	5	20	94	17	62	5	33	87	100	75	19	85	63	58	70	53	65	53	79	59	26	28	41	72	76	22	47	14	68	85	92	46	54	92	77	10	25	47	80	15	3	100	66
10	94	4	67	39	1	49	0	18	83	97	4	29	30	53	49	84	80	87	6	43	44	2	74	56	88	77	40	49	50	84	70	31	21	73	27	43	33	89	76	22	21	70	30	12	58	14	44	8	38	7	88	6	72	76	67	46	92	87	13	58	68	32	13	10	76	40	74	25	21
39	27	83	47	24	45	23	18	0	39	35	55	34	79	67	91	89	38	48	13	27	4	71	8	23	35	85	1	14	17	2	64	9	81	7	32	16	13	82	13	42	25	9	72	40	91	12	75	13	22	60	13	64	9	88	44	25	48	82	50	84	62	30	100	11	88	51	40	18	99
69	46	66	11	74	19	51	83	39	0	56	6	85	92	27	10	28	86	1	44	93	25	89	44	3	96	94	76	52	64	59	86	12	4	81	63	26	52	47	70	33	76	93	23	23	31	7	14	73	69	27	32	71	62	80	20	54	73	52	66	96	79	32	35	40	77	67	18	11	30
2	13	57	38	35	87	64	97	35	56	0	99	48	100	19	45	12	2	77	2	67	9	18	17	64	55	17	52	7	68	98	66	84	54	20	2	89	84	98	88	83	93	94	74	13	48	99	4	8	90	43	70	52	9	32	31	74	60	99	73	12	94	74	40	99	70	43	87	47	12
52	41	40	36	29	38	93	4	55	6	99	0	21	19	34	5	69	15	58	69	83	29	20	22	30	60	8	77	86	43	28	79	47	14	87	27	6	52	47	51	50	45	55	87	98	85	84	44	11	70	15	76	16	67	84	27	18	66	27	69	37	29	9	54	10	78	58	64	55	22
68	27	54	89	92	65	73	29	34	85	48	21	0	46	11	91	71	33	29	44	60	64	95	69	90	75	68	61	3	13	76	74	6	1	83	16	19	82	23	54	45	33	23	15	67	59	30	44	99	37	63	46	59	63	62	44	91	50	94	1	45	19	89	15	71	62	42	82	2	47
66	14	78	27	9	77	81	30	79	92	100	19	46	0	40	49	5	62	96	23	33	44	93	55	27	93	59	56	65	12	79	48	37	4	35	18	45	63	69	10	66	56	93	30	48	85	63	75	67	79	40	20	32	22	97	64	26	9	69	26	83	78	25	61	12	26	87	66	7	21
87	53	67	42	47	59	32	53	67	27	19	34	11	40	0	93	36	82	81	99	19	37	10	50	76	77	47	43	61	76	77	73	47	68	39	4	29	56	47	37	46	89	15	56	86	64	23	88	17	30	40	67	63	8	97	80	10	4	62	66	22	68	49	20	100	6	28	21	48	60
65	11	92	10	35	41	65	49	91	10	45	5	91	49	93	0	73	79	18	63	95	79	20	89	97	10	70	60	9	52	47	52	64	29	56	24	41	72	80	81	98	18	43	57	93	16	90	65	56	6	75	20	17	60	89	53	62	48	58	72	92	68	6	42	58	81	89	23	56	94
